Row #,Species,Count,Location,S/P,Date,LocID,SubID
48,Bearded Guan - Penelope barbata,5,Refugio de Vida Silvestre Laquipampa,PE-LAM,05 Jan 2014,L1810924,S16284242
49,Andean Guan - Penelope montagnii,4,Carretera a Manú--Paso Acjanaco (Valqui A1.1),PE-CUS,28 Apr 2012,L1004908,S10605278
50,Spix's Guan - Penelope jacquacu,,Erika Lodge,PE-MDD,03 Jun 2012,L1532805,S10938877
51,Crested Guan - Penelope purpurascens,2,PNN Tayrona,CO-MAG,20 Jan 2015,L465334,S21441519
52,White-winged Guan - Penelope albipennis,2,Refugio de Vida Silvestre Laquipampa,PE-LAM,11 Jun 2013,L1810924,S14415288
53,Blue-throated Piping-Guan - Pipile cumanensis,5,Erika Lodge,PE-MDD,03 Jun 2012,L1532805,S10938877
54,Wattled Guan - Aburria aburri,1,Cock-of-the-Rock Lodge & Manu Paradise Lodge,PE-CUS,02 Aug 2012,L599445,S11299399
55,Sickle-winged Guan - Chamaepetes goudotii,2,Cuchilla San Lorenzo,CO-MAG,11 Jan 2013,L2146871,S12570385
56,Razor-billed Curassow - Mitu tuberosum,1,Paucartambo--Kosñipata--Comunidad Nativa Queros Wachiperi ca. 590 m (native community),PE-CUS,17 Jun 2012,L1599945,S11037559
57,Sira Curassow - Pauxi koepckeae,1,Peligroso Campsite (1550m),PE-HUC,09 Oct 2017,L6342482,S39861906
58,Blue-billed Curassow - Crax alberti,1,RNA Paujil (Dept. Boyaca),CO-BOY,23 Dec 2014,L743897,S21078157
59,Crested Bobwhite - Colinus cristatus,20,Perico (peublo),CO-LAG,17 Mar 2014,L726305,S18540897
60,Marbled Wood-Quail - Odontophorus gujanensis,1,RNA Paujil (Dept. Boyaca),CO-BOY,25 Dec 2014,L743897,S21291833
61,Black-fronted Wood-Quail - Odontophorus atrifrons,5,RNA Proaves El Dorado--Lodge,CO-MAG,09 Jan 2013,L2141124,S12570287
62,Chestnut Wood-Quail - Odontophorus hyperythrus,1,Arrierito Antioqueño ProAves Reserve,CO-ANT,31 Dec 2014,L603931,S21291944
63,Rufous-breasted Wood-Quail - Odontophorus speciosus,1,Cock-of-the-Rock Lodge & Manu Paradise Lodge,PE-CUS,23 Oct 2012,L599445,S12200914
64,Stripe-faced Wood-Quail - Odontophorus balliviani,1,Carretera a Manú--Túneles Pillahuata (2600-2800m),PE-CUS,21 Jul 2016,L1004825,S30800349
65,Starred Wood-Quail - Odontophorus stellatus,,Erika Lodge,PE-MDD,09 Dec 2012,L1532805,S12279369
66,Chilean Flamingo - Phoenicopterus chilensis,207,Camino a Ondores,PE-JUN,12 Nov 2013,L2420815,S15659664
