Row #,Species,Count,Location,S/P,Date,LocID,SubID
419,Wedge-rumped Storm-Petrel - Hydrobates tethys,2,Pelagic (4) -12.1583x-77.5939 - 13/12/2013 11:00,PE-CAL,13 Dec 2013,L2473521,S16015766
420,Black Storm-Petrel - Hydrobates melania,2,Pelagic (6) -12.1811x-77.7337 - 13/12/2013 12:00,PE-CAL,13 Dec 2013,L2473527,S16015794
421,Markham's Storm-Petrel - Hydrobates markhami,3,"Pelagic (5) Auto selected -12.54378, -77.13769",PE-LIM,26 Nov 2021,L16980508,S98117221
422,White-chinned Petrel - Procellaria aequinoctialis,1,Pelagic (5) -12.1675x-77.6521 - 13/12/2013 11:30,PE-CAL,13 Dec 2013,L2473524,S16015782
423,Pink-footed Shearwater - Ardenna creatopus,1,Pelagic (7) -12.1768x-77.7518 - 13/12/2013 12:30,PE-CAL,13 Dec 2013,L2473531,S16015816
424,Sooty Shearwater - Ardenna grisea,3500,Playa Puerto Eten,PE-LAM,12 Jun 2013,L2223087,S14415294
425,Peruvian Diving-Petrel - Pelecanoides garnotii,1,Refugio de Vida Silvestre Los Pantanos de Villa--Laguna Costera y Playa - Marvilla,PE-LIM,28 Nov 2012,L855862,S12210809
426,Jabiru - Jabiru mycteria,3,Rio Madre de Dios--Manú Wildlife Center a Laberinto,PE-MDD,06 Aug 2014,L1004848,S19609753
427,Wood Stork - Mycteria americana,3,Rio Madre de Dios--Boca Manú a Manú Wildlife Center,PE-MDD,26 Sep 2012,L1004840,S11683890
428,Magnificent Frigatebird - Fregata magnificens,1,SFF Los Flamencos--Km 1,CO-LAG,13 Jan 2014,L2567451,S16414001
429,Blue-footed Booby - Sula nebouxii,2,Pucusana (pueblo),PE-LIM,07 Jul 2012,L622757,S11123772
430,Peruvian Booby - Sula variegata,1,Playa Barranquito,PE-LIM,06 Jul 2012,L1615252,S11113277
431,Anhinga - Anhinga anhinga,9,Cocha Blanco,PE-MDD,25 Sep 2012,L758591,S11683888
432,Red-legged Cormorant - Poikilocarbo gaimardi,6,Pucusana (pueblo),PE-LIM,07 Jul 2012,L622757,S11123772
433,Neotropic Cormorant - Nannopterum brasilianum,5,Laguna de Huacarpay,PE-CUS,05 Feb 2012,L492963,S10503463
434,Guanay Cormorant - Leucocarbo bougainvillii,9,Pucusana (pueblo),PE-LIM,07 Jul 2012,L622757,S11123772
435,Brown Pelican - Pelecanus occidentalis,2,Playa Puerto Eten,PE-LAM,12 Jun 2013,L2223087,S14415294
436,Peruvian Pelican - Pelecanus thagus,6,Playa Barranquito,PE-LIM,06 Jul 2012,L1615252,S11113277
437,Zigzag Heron - Zebrilus undulatus,1,Ecoaventuras Amazonicas,PE-MDD,22 Oct 2017,L4445053,S40084096
438,Least Bittern - Ixobrychus exilis,1,Refugio de Vida Silvestre Los Pantanos de Villa--Laguna Costera y Playa - Marvilla,PE-LIM,07 Jul 2012,L855862,S11123824
439,Rufescent Tiger-Heron - Tigrisoma lineatum,1,Cocha Machuhuasi,PE-MDD,14 Jul 2012,L9403218,S11189730
440,Fasciated Tiger-Heron - Tigrisoma fasciatum,1,Rio Alto Madre de Dios--Amazonia Lodge a Boca Manú,PE-MDD,11 Aug 2012,L1004839,S11340791
441,Great Blue Heron - Ardea herodias,3,Palermo--Camino Km 4,CO-MAG,15 Feb 2014,L2141044,S17048062
442,Cocoi Heron - Ardea cocoi,1,Laguna de Huacarpay,PE-CUS,05 Feb 2012,L492963,S10503463
443,Great Egret - Ardea alba,2,Laguna de Huacarpay,PE-CUS,05 Feb 2012,L492963,S10503463
444,Snowy Egret - Egretta thula,1,Laguna de Huacarpay,PE-CUS,16 Feb 2012,L492963,S10503466
445,Little Blue Heron - Egretta caerulea,1,Laguna de Huacarpay,PE-CUS,16 Feb 2012,L492963,S10503466
446,Tricolored Heron - Egretta tricolor,1,SFF Los Flamencos - Desembocadura de Ciénaga del Navío Quebrado,CO-LAG,14 Jan 2014,L4187451,S16419349
447,Reddish Egret - Egretta rufescens,3,SFF Los Flamencos - Desembocadura de Ciénaga del Navío Quebrado,CO-LAG,14 Jan 2014,L4187451,S16419349
448,Cattle Egret - Bubulcus ibis,5,Laguna de Huacarpay,PE-CUS,16 Feb 2012,L492963,S10503466
449,Green Heron - Butorides virescens,2,Via Parque Isla de Salamanca--Centro Administrativo Los Cocos,CO-MAG,15 Feb 2014,L1856337,S17056111
450,Striated Heron - Butorides striata,1,Laguna de Huacarpay,PE-CUS,25 Feb 2012,L492963,S10503469
451,Agami Heron - Agamia agami,2,Cocha Blanco,PE-MDD,09 Oct 2012,L758591,S11792330
452,Capped Heron - Pilherodius pileatus,1,Rio Alto Madre de Dios--Amazonia Lodge a Boca Manú,PE-MDD,24 Sep 2012,L1004839,S11683886
453,Black-crowned Night-Heron - Nycticorax nycticorax,2,Laguna de Huacarpay,PE-CUS,16 Feb 2012,L492963,S10503466
454,Yellow-crowned Night-Heron - Nyctanassa violacea,1,Refugio de Vida Silvestre Los Pantanos de Villa--Laguna Costera y Playa - Marvilla,PE-LIM,24 Oct 2013,L855862,S15491766
455,Boat-billed Heron - Cochlearius cochlearius,1,Cocha Blanco,PE-MDD,25 Sep 2012,L758591,S11683888
456,White Ibis - Eudocimus albus,1,Riohacha--Camarones [deserts and xeric shrublands],CO-LAG,14 Jan 2014,L2568025,S16417011
457,Scarlet Ibis - Eudocimus ruber,10,Riohacha--Camarones [deserts and xeric shrublands],CO-LAG,14 Feb 2014,L2568025,S17039486
458,Glossy Ibis - Plegadis falcinellus,4,Palermo--Camino Km 4,CO-MAG,15 Feb 2014,L2141044,S17048062
459,Puna Ibis - Plegadis ridgwayi,1,Laguna de Huacarpay,PE-CUS,05 Feb 2012,L492963,S10503463
460,Green Ibis - Mesembrinibis cayennensis,,Cocha Blanco,PE-MDD,25 Sep 2012,L758591,S11683888
461,Bare-faced Ibis - Phimosus infuscatus,1,Palermo--Camino Km 4,CO-MAG,15 Feb 2014,L2141044,S17048062
462,Buff-necked Ibis - Theristicus caudatus,4,Riohacha--El Ebanal (tollbooth),CO-LAG,20 Feb 2013,L2479279,S16050247
463,Andean Ibis - Theristicus branickii,2,Comunidad de K'ucya,PE-CUS,30 Oct 2012,L1824678,S12201169
464,Roseate Spoonbill - Platalea ajaja,1,Refugio de Vida Silvestre Los Pantanos de Villa--Laguna Costera y Playa - Marvilla,PE-LIM,07 Jul 2012,L855862,S11123824
465,Andean Condor - Vultur gryphus,1,Santuario Historico Machu Picchu--Ferrocarril (Ollantaytambo a Aguas Calientes),PE-CUS,10 Dec 2013,L1004818,S16015633
466,King Vulture - Sarcoramphus papa,2,Erika Lodge,PE-MDD,13 Jul 2012,L1532805,S11189727
467,Black Vulture - Coragyps atratus,10,Refugio de Vida Silvestre Los Pantanos de Villa--Laguna Costera y Playa - Marvilla,PE-LIM,07 Jul 2012,L855862,S11123824
468,Turkey Vulture - Cathartes aura,1,Collpa Mascoitania,PE-MDD,06 May 2012,L1532813,S10700795
469,Lesser Yellow-headed Vulture - Cathartes burrovianus,2,Palermo--Camino Km 4,CO-MAG,16 Mar 2014,L2141044,S18535880
470,Greater Yellow-headed Vulture - Cathartes melambrotus,1,C. N. Santa Rosa de Huacaria (613m),PE-CUS,05 May 2012,L1532757,S10700411
471,Osprey - Pandion haliaetus,1,Cocha Blanco,PE-MDD,25 Sep 2012,L758591,S11683888
472,Pearl Kite - Gampsonyx swainsonii,1,Refugio de Vida Silvestre Laquipampa,PE-LAM,11 Jun 2013,L1810924,S14415288
473,White-tailed Kite - Elanus leucurus,1,"Tumbes, Pueblo Nuevo (-3.6275,-80.1966)",PE-TUM,12 Feb 2019,L8601735,S52644779
474,Hook-billed Kite - Chondrohierax uncinatus,2,"PE-San Martin - -6.7436x-76.3509 - Jun 20, 2013, 6:21 PM",PE-SAM,17 Jun 2013,L2240363,S14473593
475,Gray-headed Kite - Leptodon cayanensis,2,Santa Marta--Minca to El Dorado Road ca. 600-1700 m,CO-MAG,20 Mar 2013,L1895777,S13635490
476,Swallow-tailed Kite - Elanoides forficatus,3,Pantiacolla Lodge,PE-MDD,23 Sep 2012,L2372696,S11683941
477,Crested Eagle - Morphnus guianensis,2,Pampas Hermosa,PE-MDD,18 Aug 2018,L7720660,S48176603
478,Harpy Eagle - Harpia harpyja,1,Rio Madre de Dios--Boca Manú a Manú Wildlife Center,PE-MDD,20 Nov 2014,L1004840,S21338143
479,Black Hawk-Eagle - Spizaetus tyrannus,1,Blanquillo Macaw Clay Lick,PE-MDD,14 Jul 2013,L599455,S14661125
480,Ornate Hawk-Eagle - Spizaetus ornatus,1,Manu Birding Lodge,PE-MDD,25 Sep 2012,L3601096,S11683945
481,Black-and-white Hawk-Eagle - Spizaetus melanoleucus,1,Blanquillo Macaw Clay Lick,PE-MDD,24 Jun 2014,L599455,S18957922
482,Black-and-chestnut Eagle - Spizaetus isidori,2,El Dorado ProAves Reserve,CO-MAG,18 Feb 2013,L652746,S13173653
483,Black-collared Hawk - Busarellus nigricollis,1,Cocha Blanco,PE-MDD,25 Sep 2012,L758591,S11683888
484,Snail Kite - Rostrhamus sociabilis,1,Cocha Blanco,PE-MDD,09 Oct 2012,L758591,S11792330
485,Slender-billed Kite - Helicolestes hamatus,1,Inkaterra Reserva Amazónica,PE-MDD,04 Dec 2013,L1787394,S15894609
486,Double-toothed Kite - Harpagus bidentatus,1,Lago Lindo Lodge--Calle Entrada,PE-SAM,17 Jun 2013,L2240922,S14473585
487,Plumbeous Kite - Ictinia plumbea,1,Cock-of-the-Rock Lodge & Manu Paradise Lodge,PE-CUS,23 Jul 2012,L599445,S11210233
488,Cinereous Harrier - Circus cinereus,1,Laguna de Huacarpay,PE-CUS,02 Mar 2012,L492963,S10503478
489,Gray-bellied Hawk - Accipiter poliogaster,1,Los Amigos Biological Station (CICRA),PE-MDD,04 Nov 2016,L492606,S32367235
490,Tiny Hawk - Accipiter superciliosus,1,RNA Proaves El Dorado--Lodge,CO-MAG,07 Apr 2013,L2141124,S13660083
491,Semicollared Hawk - Accipiter collaris,1,Carretera a Manú--Paso Acjanaco (Valqui A1.1),PE-CUS,03 Oct 2012,L1004908,S11792300
492,Sharp-shinned Hawk - Accipiter striatus,1,Cuchilla San Lorenzo,CO-MAG,13 Jan 2013,L2146871,S12589116
493,Bicolored Hawk - Accipiter bicolor,4,Piculet Trail,CO-LAG,06 Feb 2014,L2642480,S16993550
494,Crane Hawk - Geranospiza caerulescens,1,PN Manú--Rio Manú,PE-MDD,25 Aug 2013,L815603,S15139064
495,Slate-colored Hawk - Buteogallus schistaceus,1,Manu Tented Camp,PE-MDD,29 Aug 2013,L8231282,S15147136
496,Common Black Hawk - Buteogallus anthracinus,1,Via PNN Tayrona (Magdalena),CO-MAG,06 Feb 2014,L2658908,S17064594
497,Savanna Hawk - Buteogallus meridionalis,2,"PE-Lambayeque Region - -6.4040x-79.5037 - Jun 11, 2013, 9:55 PM",PE-LAM,11 Jun 2013,L2221716,S14408232
498,Great Black Hawk - Buteogallus urubitinga,1,Rio Alto Madre de Dios--Amazonia Lodge a Boca Manú,PE-MDD,25 Aug 2012,L1004839,S11448747
499,Solitary Eagle - Buteogallus solitarius,2,Carretera a Manú--Rocotal Inferior (1800-2000m),PE-CUS,03 Oct 2012,L1004829,S11792302
500,Barred Hawk - Morphnarchus princeps,2,Arrierito Antioqueño ProAves Reserve,CO-ANT,01 Jan 2015,L603931,S21291966
501,Roadside Hawk - Rupornis magnirostris,1,Carretera a Manú--Pilcopata a Atalaya (500-600m),PE-CUS,05 May 2012,L1004837,S10700382
502,Harris's Hawk - Parabuteo unicinctus,1,Refugio de Vida Silvestre Los Pantanos de Villa--Laguna Costera y Playa - Marvilla,PE-LIM,07 Jul 2012,L855862,S11123824
503,White-rumped Hawk - Parabuteo leucorrhous,1,Cuchilla San Lorenzo,CO-MAG,11 Jan 2013,L2146871,S12570384
504,White-tailed Hawk - Geranoaetus albicaudatus,1,RNA Las Tangaras--Sendas,CO-CHO,04 Jan 2015,L1402854,S21296016
505,Variable Hawk - Geranoaetus polyosoma,1,Laguna de Huacarpay,PE-CUS,29 Feb 2012,L492963,S10503474
506,Black-chested Buzzard-Eagle - Geranoaetus melanoleucus,1,Laguna de Huacarpay,PE-CUS,16 Feb 2012,L492963,S10503466
507,White Hawk - Pseudastur albicollis,2,Amazonía Lodge,PE-MDD,06 Oct 2012,L1004838,S11792322
508,Gray-backed Hawk - Pseudastur occidentalis,3,ACR Angostura Faical--Camino a El Caucho Biological Station,PE-TUM,22 Dec 2017,L1932326,S41287716
509,White-browed Hawk - Leucopternis kuhli,1,PN Manú--Rio Manú,PE-MDD,08 Nov 2017,L815603,S40441078
510,Gray-lined Hawk - Buteo nitidus,1,Rio Alto Madre de Dios--Amazonia Lodge a Boca Manú,PE-MDD,01 Nov 2012,L1004839,S12200938
511,Broad-winged Hawk - Buteo platypterus,1,Cuchilla San Lorenzo,CO-MAG,11 Jan 2013,L2146871,S12570384
512,Short-tailed Hawk - Buteo brachyurus,1,PN Manú--Rio Manú,PE-MDD,03 Nov 2012,L815603,S12201178
513,White-throated Hawk - Buteo albigula,1,Santuario Historico Machu Picchu--Machu Picchu Ruinas (Valqui B3.2),PE-CUS,09 Aug 2014,L1004819,S19784781
514,Zone-tailed Hawk - Buteo albonotatus,1,Carretera a Manú--Thousand-meter Bridge a Chontachacra (900-1100m),PE-CUS,29 Apr 2012,L1004835,S10605283
515,Barn Owl - Tyto alba,1,Cementerio de Junin,PE-JUN,11 Nov 2013,L2419305,S15663867
516,White-throated Screech-Owl - Megascops albogularis,2,Chamicero del Perijá Proaves Reserve,CO-CES,05 Feb 2015,L3054544,S22210297
517,Tropical Screech-Owl - Megascops choliba,1,"Las Palmeras Lodge, Taropoto",PE-SAM,16 Jun 2013,L2235275,S14467266
518,Koepcke's Screech-Owl - Megascops koepckeae,1,"PE-Cajamarca Region - -7.2704x-78.5187 - Jun 12, 2013, 8:54 PM",PE-CAJ,12 Jun 2013,L2223115,S14473552
519,Rufescent Screech-Owl - Megascops ingens,1,Cock-of-the-Rock Lodge & Manu Paradise Lodge,PE-CUS,16 Sep 2012,L599445,S11792506
520,Cinnamon Screech-Owl - Megascops petersoni,1,"-5.7334x-77.9546 - May 22, 2016, 20:00",PE-AMA,22 May 2016,L4634895,S29871957
521,Foothill Screech-Owl - Megascops roraimae,1,Mirador to 1000m (in direction to Hospital Campsite),PE-HUC,07 Oct 2017,L6342468,S39859178
522,Santa Marta Screech-Owl - Megascops gilesi,1,RNA Proaves El Dorado--Lodge,CO-MAG,09 Jan 2013,L2141124,S12570302
523,Peruvian Screech-Owl - Megascops roboratus,3,Refugio de Vida Silvestre Laquipampa,PE-LAM,04 Jan 2014,L1810924,S16284260
524,Tawny-bellied Screech-Owl - Megascops watsonii,,Cocha Machuhuasi,PE-MDD,06 May 2012,L9403218,S10700796
525,Crested Owl - Lophostrix cristata,1,Harpy Lodge,PE-MDD,29 Jul 2013,L2301599,S14827758
526,Spectacled Owl - Pulsatrix perspicillata,1,El Dorado ProAves Reserve,CO-MAG,03 Mar 2013,L652746,S13641234
527,Band-bellied Owl - Pulsatrix melanota,1,Cock-of-the-Rock Lodge & Manu Paradise Lodge,PE-CUS,20 Aug 2013,L599445,S15124647
528,Great Horned Owl - Bubo virginianus,1,Via Parque Isla de Salamanca--Centro Administrativo Los Cocos,CO-MAG,18 Jan 2015,L1856337,S21499524
529,Yungas Pygmy-Owl - Glaucidium bolivianum,1,Carretera a Manú--Túneles Pillahuata (2200-2500m),PE-CUS,19 Aug 2013,L599443,S15122220
530,Amazonian Pygmy-Owl - Glaucidium hardyi,1,Manú Learning Centre--Lodge,PE-MDD,12 Jun 2012,L1599931,S11037551
531,Ferruginous Pygmy-Owl - Glaucidium brasilianum,2,Erika Lodge,PE-MDD,01 Aug 2012,L1532805,S11299281
532,Peruvian Pygmy-Owl - Glaucidium peruanum,1,Malecón de la Reserva (esplanade)--Miraflores--Lima,PE-LIM,16 Apr 2013,L2367615,S15263971
533,Long-whiskered Owlet - Xenoglaux loweryi,1,"-5.7334x-77.9546 - May 22, 2016, 20:00",PE-AMA,22 May 2016,L4634895,S29871957
534,Burrowing Owl - Athene cunicularia,1,Refugio de Vida Silvestre Los Pantanos de Villa--Laguna Costera y Playa - Marvilla,PE-LIM,07 Jul 2012,L855862,S11123824
535,Mottled Owl - Ciccaba virgata,2,RNA Proaves El Dorado--Lodge,CO-MAG,10 Jan 2013,L2141124,S12570318
536,Black-and-white Owl - Ciccaba nigrolineata,1,Hostel Sans Souci,CO-MAG,26 Mar 2013,L1913636,S17135929
537,Black-banded Owl - Ciccaba huhula,1,Amazonía Lodge,PE-MDD,04 Oct 2015,L1004838,S25399916
538,Rufous-banded Owl - Ciccaba albitarsis,1,Cock-of-the-Rock Lodge & Manu Paradise Lodge,PE-CUS,15 Nov 2014,L599445,S21330540
539,Striped Owl - Asio clamator,1,Tarapoto (ciudad)--Carretera Marginal Sur (Ovalo de Tarapoto),PE-SAM,21 May 2014,L2904401,S18709662
540,Stygian Owl - Asio stygius,1,RNA Proaves El Dorado--Lodge,CO-MAG,22 Feb 2014,L2141124,S17176195
541,Short-eared Owl - Asio flammeus,1,Ondores (pueblo y vecindad),PE-JUN,12 Nov 2013,L664973,S15659668
542,Buff-fronted Owl - Aegolius harrisii,2,Yoga Limatambo Hotel,PE-CUS,19 Apr 2018,L5065724,S44758885
543,Pavonine Quetzal - Pharomachrus pavoninus,1,Lago Valencia,PE-MDD,06 Dec 2013,L1829166,S15939920
544,Golden-headed Quetzal - Pharomachrus auriceps,1,Carretera a Manú--Rocotal Medio (2000-2200m),PE-CUS,12 Jul 2012,L1004828,S11189692
545,White-tipped Quetzal - Pharomachrus fulgidus,1,RNA Proaves El Dorado--Lodge,CO-MAG,10 Jan 2013,L2141124,S12561060
546,Crested Quetzal - Pharomachrus antisianus,1,Manú Cloud Forest Lodge (1500-1700m),PE-CUS,08 Oct 2011,L1004831,S10503451
547,Ecuadorian Trogon - Trogon mesurus,2,Refugio de Vida Silvestre Laquipampa,PE-LAM,04 Jan 2014,L1810924,S16284282
548,Black-tailed Trogon - Trogon melanurus,,Manú Learning Centre--Lodge,PE-MDD,14 Jun 2012,L1599931,S11037555
549,Green-backed Trogon - Trogon viridis,1,Pantiacolla Lodge,PE-MDD,23 Sep 2012,L2372696,S11683941
550,Gartered Trogon - Trogon caligatus,1,Santa Marta--Minca to El Dorado Road ca. 600-1700 m,CO-MAG,20 Jan 2013,L1895777,S12677276
551,Amazonian Trogon - Trogon ramonianus,1,Rio Madre de Dios--Isla Rolin,PE-MDD,04 Dec 2013,L2458118,S15894560
552,Blue-crowned Trogon - Trogon curucui,,"Manu--Manu--Laguna Machuwasi ca. 470 m (trails) [flooded evergreen forest, secondary forest]",PE-MDD,14 Jul 2012,L1630891,S11189729
553,Black-throated Trogon - Trogon rufus,2,ExplorNapo Lodge,PE-LOR,12 Dec 2016,L592623,S32993723
554,Collared Trogon - Trogon collaris,,Erika Lodge,PE-MDD,04 Aug 2012,L1532805,S11299405
555,Masked Trogon - Trogon personatus,1,Carretera a Manú--Pillahuata (Valqui A1.2),PE-CUS,02 Jun 2012,L599441,S10938869
556,Whooping Motmot - Momotus subrufescens,1,Hotel Minca,CO-MAG,20 Jan 2013,L2768764,S12676878
557,Amazonian Motmot - Momotus momota,2,Manu Birding Lodge,PE-MDD,27 Sep 2012,L3601096,S11683948
558,Andean Motmot - Momotus aequatorialis,1,Carretera a Manú--Mirador (1700-1800m),PE-CUS,22 Jul 2012,L1004830,S11210240
559,Rufous Motmot - Baryphthengus martii,3,"PE-San Martin - -6.5800x-76.3007 - Jun 19, 2013, 6:21 PM",PE-SAM,17 Jun 2013,L2240361,S14473595
560,Broad-billed Motmot - Electron platyrhynchum,,Erika Lodge,PE-MDD,24 Jul 2012,L1532805,S11210242
561,Ringed Kingfisher - Megaceryle torquata,1,Rio Alto Madre de Dios--Amazonia Lodge a Boca Manú,PE-MDD,21 Sep 2012,L1004839,S11683883
562,Amazon Kingfisher - Chloroceryle amazona,1,Cocha Machuhuasi,PE-MDD,14 Jul 2012,L9403218,S11189730
563,American Pygmy Kingfisher - Chloroceryle aenea,2,Via Parque Isla de Salamanca--Centro Administrativo Los Cocos,CO-MAG,15 Feb 2014,L1856337,S17056111
564,Green Kingfisher - Chloroceryle americana,1,"PE-Lambayeque Region-Jayanca - -6.4720x-79.8162 - Jun 11, 2013, 10:05 PM",PE-LAM,11 Jun 2013,L2221731,S14408228
565,Green-and-rufous Kingfisher - Chloroceryle inda,1,Cocha Blanco,PE-MDD,25 Sep 2012,L758591,S11683888
566,White-necked Puffbird - Notharchus hyperrhynchus,1,Manu Birding Lodge,PE-MDD,25 Sep 2012,L3601096,S11683945
567,Brown-banded Puffbird - Notharchus ordii,1,Reserva Refugio Amazonas,PE-MDD,01 Jun 2015,L1755368,S23794549
568,Pied Puffbird - Notharchus tectus,2,Manú Wildlife Center--Canopy Tower,PE-MDD,21 Nov 2014,L2352111,S21338446
569,Chestnut-capped Puffbird - Bucco macrodactylus,1,"Manu--Manu--Laguna Machuwasi ca. 470 m (trails) [flooded evergreen forest, secondary forest]",PE-MDD,03 Aug 2012,L1630891,S11299403
570,Spotted Puffbird - Bucco tamatia,2,Manu Birding Lodge,PE-MDD,25 Sep 2012,L3601096,S11683945
571,Collared Puffbird - Bucco capensis,2,Manú Wildlife Center (Valqui A5.1),PE-MDD,24 Nov 2015,L599450,S26037080
572,Western Striolated-Puffbird - Nystalus obamai,,Pantiacolla Lodge,PE-MDD,24 Sep 2012,L2372696,S11683943
573,White-eared Puffbird - Nystalus chacuru,2,Alojamiento Rural Reposo El Angel--Fundo Pichuymarca--Limatambo--Anta,PE-CUS,12 Jul 2016,L4788403,S30695901
574,Russet-throated Puffbird - Hypnelus ruficollis,2,Riohacha--Camarones [deserts and xeric shrublands],CO-LAG,14 Jan 2014,L2568025,S16417011
575,White-chested Puffbird - Malacoptila fusca,2,Nueva Austria del Sira to Hospital Campsite (330m to 770m),PE-HUC,10 Oct 2017,L6342435,S39929295
576,Semicollared Puffbird - Malacoptila semicincta,1,Salvador Lake and trails,PE-MDD,28 Aug 2013,L2351393,S15144121
577,White-whiskered Puffbird - Malacoptila panamensis,1,PN Cerros de Amotape--El Caucho Biological Station,PE-TUM,22 Dec 2017,L1953650,S41287770
578,Black-streaked Puffbird - Malacoptila fulvogularis,1,Cock-of-the-Rock Lodge & Manu Paradise Lodge,PE-CUS,24 Sep 2011,L599445,S12280182
579,Moustached Puffbird - Malacoptila mystacalis,1,El Dorado ProAves Reserve,CO-MAG,13 Feb 2014,L652746,S17028033
580,Lanceolated Monklet - Micromonacha lanceolata,1,Bosque de Protección Alto Mayo--Llanteria/Afluente vicinity (km 389-391),PE-SAM,18 May 2014,L1234162,S18791730
581,Rufous-capped Nunlet - Nonnula ruficapilla,1,Carretera Upaquihua,PE-SAM,17 Jun 2013,L976323,S14473591
582,White-faced Nunbird - Hapaloptila castanea,1,ACP Abra Patricia--Owlet Lodge,PE-AMA,16 Jun 2013,L1849237,S14557247
583,Black-fronted Nunbird - Monasa nigrifrons,,Cocha Machuhuasi,PE-MDD,06 May 2012,L9403218,S10700796
584,White-fronted Nunbird - Monasa morphoeus,2,Pantiacolla Lodge,PE-MDD,24 Sep 2012,L2372696,S11683943
585,Yellow-billed Nunbird - Monasa flavirostris,3,Lago Lindo Lodge--Calle Entrada,PE-SAM,17 Jun 2013,L2240922,S14473585
586,Swallow-winged Puffbird - Chelidoptera tenebrosa,1,C. N. Los Aguanos (600m),PE-CUS,13 Jun 2012,L1599961,S11037553
587,White-eared Jacamar - Galbalcyrhynchus leucotis,1,Ceiba Tops Lodge,PE-LOR,03 Dec 2016,L971802,S32846534
588,Purus Jacamar - Galbalcyrhynchus purusianus,1,Cocha Camungo,PE-MDD,10 Oct 2012,L758592,S11792408
589,White-throated Jacamar - Brachygalba albogularis,1,Camino Pastora,PE-MDD,30 Jun 2014,L1004909,S19525556
590,Yellow-billed Jacamar - Galbula albirostris,1,Amazon Conservatory of Tropical Studies Field Station,PE-LOR,09 Dec 2016,L1340381,S32937473
591,Rufous-tailed Jacamar - Galbula ruficauda,1,Santa Marta--Minca to El Dorado Road ca. 600-1700 m,CO-MAG,25 Jan 2013,L1895777,S12724752
592,White-chinned Jacamar - Galbula tombacea,1,Cocha Yarina,PE-LOR,05 Dec 2016,L5128001,S32886435
593,Bluish-fronted Jacamar - Galbula cyanescens,,Erika Lodge,PE-MDD,06 May 2012,L1532805,S10700794
594,Purplish Jacamar - Galbula chalcothorax,1,ExplorNapo Lodge,PE-LOR,10 Dec 2016,L592623,S32953899
595,Paradise Jacamar - Galbula dea,1,Reserva Refugio Amazonas,PE-MDD,01 Jun 2015,L1755368,S23794478
596,Great Jacamar - Jacamerops aureus,1,Pantiacolla Lodge,PE-MDD,27 Sep 2012,L2372696,S11683949
597,Scarlet-crowned Barbet - Capito aurovirens,2,Ceiba Tops Lodge,PE-LOR,03 Dec 2016,L971802,S32846534
598,White-mantled Barbet - Capito hypoleucus,1,Arrierito Antioqueño ProAves Reserve,CO-ANT,01 Jan 2015,L603931,S21291966
599,Scarlet-banded Barbet - Capito wallacei,2,Flor de Café/Plataforma,PE-SAM,23 Dec 2016,L2455165,S33182185
600,Gilded Barbet - Capito auratus,1,Manu Birding Lodge,PE-MDD,25 Sep 2012,L3601096,S11683945
601,Lemon-throated Barbet - Eubucco richardsoni,,Erika Lodge,PE-MDD,04 Aug 2012,L1532805,S11299405
602,Scarlet-hooded Barbet - Eubucco tucinkae,1,Pantiacolla Lodge,PE-MDD,12 Oct 2014,L2372696,S21578443
603,Red-headed Barbet - Eubucco bourcierii,1,Arrierito Antioqueño ProAves Reserve,CO-ANT,29 Dec 2014,L603931,S21291923
604,Versicolored Barbet - Eubucco versicolor,1,Bosque de Protección Alto Mayo--Llanteria/Afluente vicinity (km 389-391),PE-SAM,16 Jun 2013,L1234162,S14473613
605,Toucan Barbet - Semnornis ramphastinus,6,Las Tangaras ProAves Reserve,CO-CHO,03 Jan 2015,L856448,S21292010
606,Southern Emerald-Toucanet - Aulacorhynchus albivitta,1,"Manu--Manu--Laguna Machuwasi ca. 470 m (trails) [flooded evergreen forest, secondary forest]",PE-MDD,03 Aug 2012,L1630891,S11299403
607,Groove-billed Toucanet - Aulacorhynchus sulcatus,,Santa Marta--Minca to El Dorado Road ca. 600-1700 m,CO-MAG,15 Jan 2013,L1895777,S12821882
608,Chestnut-tipped Toucanet - Aulacorhynchus derbianus,1,Carretera a Manú--Tanager Corner a Thousand-meter Bridge (1100-1300m),PE-CUS,27 Jul 2014,L1004833,S19560043
609,Crimson-rumped Toucanet - Aulacorhynchus haematopygus,3,Arrierito Antioqueño ProAves Reserve,CO-ANT,30 Dec 2014,L603931,S21291938
610,Blue-banded Toucanet - Aulacorhynchus coeruleicinctis,1,Carretera a Manú--Rocotal,PE-CUS,12 Jul 2012,L599435,S11189693
611,Gray-breasted Mountain-Toucan - Andigena hypoglauca,1,Carretera a Manú--Paso Acjanaco (Valqui A1.1),PE-CUS,20 Apr 2013,L1004908,S15236085
612,Hooded Mountain-Toucan - Andigena cucullata,1,San Antonio de Putina--Sina--5.50 km N Sina,PE-PUN,02 Nov 2020,L12859869,S77004515
613,Lettered Aracari - Pteroglossus inscriptus,2,Lago Lindo Lodge--Calle Entrada,PE-SAM,17 Jun 2013,L2240922,S14473585
614,Collared Aracari - Pteroglossus torquatus,1,RNA Proaves El Dorado--Lodge,CO-MAG,03 Mar 2013,L2141124,S16047822
615,Chestnut-eared Aracari - Pteroglossus castanotis,3,Carretera a Manú--Pilcopata a Atalaya (500-600m),PE-CUS,07 May 2012,L1004837,S10701615
